,pair,correlation,same_sector,same_kmeans,mean_reverting,growth_differential
546,"('PFE', 'DXCM')",0.7935133110097151,0,0,False,0.0072051447186923245
547,"('PFE', 'CNC')",0.8943607045255851,0,0,False,0.04693157599543546
548,"('PFE', 'CAH')",-0.0019931781615820598,0,1,False,0.08543725760491201
549,"('PFE', 'MTD')",0.8948345375034052,0,0,False,0.06034353278921961
550,"('PFE', 'BIIB')",-0.44652284232083356,1,0,False,0.11765917949109453
551,"('PFE', 'WST')",0.810932715637874,0,0,False,0.04541029834666595
552,"('PFE', 'WAT')",0.9061668445056473,0,0,False,0.05884352489546514
553,"('PFE', 'ZBH')",0.5158586802634132,0,1,False,0.06364158035433905
554,"('PFE', 'STE')",0.8654352897437471,0,0,False,0.08543725760491201
555,"('PFE', 'COO')",0.8131622984560614,0,0,False,0.03873081127381527
556,"('PFE', 'LH')",0.8648988670099436,0,0,False,0.10010599829905228
557,"('PFE', 'PODD')",0.8223442425173367,0,0,False,0.007321445396450882
558,"('PFE', 'HOLX')",0.8320840887485244,0,0,False,0.11963723468458352
559,"('PFE', 'DGX')",0.8717874754180674,0,1,False,0.08594577031216571
560,"('PFE', 'MOH')",0.8654847828929142,0,0,False,0.013574983939411173
561,"('PFE', 'BAX')",0.5401437959428006,0,1,False,0.05699423898256835
562,"('PFE', 'ALGN')",0.6994202877053752,0,0,False,0.021213660519533398
563,"('PFE', 'VTRS')",-0.7740957977281633,0,0,False,0.04598218906752754
564,"('PFE', 'RVTY')",0.9155477734259269,0,0,False,0.07065814627441491
565,"('PFE', 'TECH')",0.8663650824424571,0,0,False,0.08543725760491201
